ecart_date,action,label,count
245,rgpd_rapport_utilisateur,,1
215,contact,,1
316,signature_mandat_sepa,,1
49,ajustement_mensualites,,1
343,signature_mandat_sepa,,1
191,rgpd_rapport_utilisateur,,1
190,ajustement_mensualites,,1
93,signature_mandat_sepa,,1
186,contact,,1
177,signature_mandat_sepa,,1
363,contact,,1
138,ajustement_mensualites,,1
213,ajustement_mensualites,,1
96,contact,,1
334,contact,,1
343,ajustement_mensualites_confirmation,,1
277,contact,,1
101,netatmo-suppression,,1
145,netatmo-synchronisation,,1
68,netatmo-suppression,,1
-2,ajustement_mensualites,,1
71,rgpd_rapport_utilisateur,,1
298,ajustement_mensualites_confirmation,,1
280,netatmo-synchronisation,,1
59,contact,,1
378,contact,,1
335,signature_cpv,,1
248,signature_mandat_sepa,,1
162,netatmo-synchronisation,,1
50,ajustement_mensualites,,1
273,netatmo-synchronisation,,1
136,netatmo-synchronisation,,1
74,ajustement_mensualites,,1
50,netatmo-synchronisation,,1
98,ajustement_mensualites,,1
59,netatmo-synchronisation,,1
162,signature_mandat_sepa,,1
0,ajustement_mensualites,,1
12,ajustement_mensualites,,1
44,netatmo-suppression,,1
298,rgpd_rapport_utilisateur,,1
217,signature_cpv,,1
389,rgpd_rapport_utilisateur,,1
44,signature_mandat_sepa,,1
199,rgpd_rapport_utilisateur,,1
225,contact,,1
355,rgpd_rapport_utilisateur,,1
41,netatmo-suppression,,1
237,contact,,1
35,signature_cpv,,1
-14,saisie_d_index,,1
106,signature_mandat_sepa,,1
-3,ajustement_mensualites,,1
150,contact,,1
230,contact,,1
-21,saisie_d_index,,1
32,netatmo-suppression,,1
235,signature_mandat_sepa,,1
27,netatmo-suppression,,1
61,ajustement_mensualites,,1
104,signature_mandat_sepa,,1
387,ajustement_mensualites_confirmation,,1
169,contact,,1
73,rgpd_rapport_utilisateur,,1
-19,saisie_d_index,,1
43,contact,,1
131,netatmo-synchronisation,,1
190,contact,,1
252,signature_cpv,,1
288,signature_mandat_sepa,,1
171,signature_mandat_sepa,,1
97,netatmo-synchronisation,,1
347,netatmo-synchronisation,,1
314,signature_mandat_sepa,,1
256,contact,,1
33,netatmo-synchronisation,,1
357,contact,,1
138,rgpd_rapport_utilisateur,,1
296,rgpd_rapport_utilisateur,,1
-24,saisie_d_index,,1
127,signature_mandat_sepa,,1
366,signature_mandat_sepa,,1
274,netatmo-synchronisation,,1
151,signature_mandat_sepa,,1
